DRR127478,SAMD00114724,DRX120222,PRJDB4176,408170,human gut metagenome,ILLUMINA,,800,PAIRED,WGS,METAGENOMIC,RANDOM,23380633,6486706572,Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00114724,metagenomic data from human fecal samples,DRX120222,4104815073,SAMD00114724,human feces_10238
DRR127481,SAMD00114727,DRX120225,PRJDB4176,408170,human gut metagenome,ILLUMINA,,800,PAIRED,WGS,METAGENOMIC,RANDOM,32411288,8714631225,Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00114727,metagenomic data from human fecal samples,DRX120225,5281910813,SAMD00114727,human feces_10332
DRR127491,SAMD00114737,DRX120235,PRJDB4176,408170,human gut metagenome,ILLUMINA,,800,PAIRED,WGS,METAGENOMIC,RANDOM,8172517,2124339384,Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00114737,metagenomic data from human fecal samples,DRX120235,1203596731,SAMD00114737,human feces_10118
DRR127521,SAMD00114767,DRX120265,PRJDB4176,408170,human gut metagenome,ILLUMINA,,800,PAIRED,WGS,METAGENOMIC,RANDOM,26414911,7485815395,Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00114767,metagenomic data from human fecal samples,DRX120265,4275345605,SAMD00114767,human feces_10201
DRR127524,SAMD00114770,DRX120268,PRJDB4176,408170,human gut metagenome,ILLUMINA,,800,PAIRED,WGS,METAGENOMIC,RANDOM,39865524,11071213007,Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00114770,metagenomic data from human fecal samples,DRX120268,6355304249,SAMD00114770,human feces_10207
DRR127557,SAMD00114803,DRX120301,PRJDB4176,408170,human gut metagenome,ILLUMINA,,800,PAIRED,WGS,METAGENOMIC,RANDOM,16654956,4791145970,Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00114803,metagenomic data from human fecal samples,DRX120301,2900217326,SAMD00114803,human feces_10527
DRR127567,SAMD00114813,DRX120311,PRJDB4176,408170,human gut metagenome,ILLUMINA,,800,PAIRED,WGS,METAGENOMIC,RANDOM,20550365,5731747535,Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00114813,metagenomic data from human fecal samples,DRX120311,4049149401,SAMD00114813,human feces_10476
DRR127588,SAMD00114834,DRX120332,PRJDB4176,408170,human gut metagenome,ILLUMINA,,800,PAIRED,WGS,METAGENOMIC,RANDOM,21014422,5865243226,Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00114834,metagenomic data from human fecal samples,DRX120332,3683759521,SAMD00114834,human feces_10169
DRR127646,SAMD00114892,DRX120390,PRJDB4176,408170,human gut metagenome,ILLUMINA,,800,PAIRED,WGS,METAGENOMIC,RANDOM,21282736,5995084694,Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00114892,metagenomic data from human fecal samples,DRX120390,3682773364,SAMD00114892,human feces_10645
DRR127649,SAMD00114895,DRX120393,PRJDB4176,408170,human gut metagenome,ILLUMINA,,800,PAIRED,WGS,METAGENOMIC,RANDOM,21040380,5943253116,Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00114895,metagenomic data from human fecal samples,DRX120393,3648901400,SAMD00114895,human feces_10661
DRR127669,SAMD00114915,DRX120413,PRJDB4176,408170,human gut metagenome,ILLUMINA,,800,PAIRED,WGS,METAGENOMIC,RANDOM,13064287,3658139787,Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00114915,metagenomic data from human fecal samples,DRX120413,2279524836,SAMD00114915,human feces_10761
DRR127672,SAMD00114918,DRX120416,PRJDB4176,408170,human gut metagenome,ILLUMINA,,800,PAIRED,WGS,METAGENOMIC,RANDOM,22008205,6198285404,Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00114918,metagenomic data from human fecal samples,DRX120416,4266635826,SAMD00114918,human feces_10701
