Genome	SRR22878281.fastq Relative Abundance (%)
unmapped	57.864082
SRR22878281.fastq_bin_1030637	0.2741323
SRR22878281.fastq_bin_1047037	0.19911478
SRR22878281.fastq_bin_1048668	0.7535551
SRR22878281.fastq_bin_1065179	0.13155946
SRR22878281.fastq_bin_1069559	0.20807865
SRR22878281.fastq_bin_1070024	0.26915756
SRR22878281.fastq_bin_1078928	0.23227143
SRR22878281.fastq_bin_1177133	0.22230177
SRR22878281.fastq_bin_1190068	0.15898922
SRR22878281.fastq_bin_1223417	0.1105595
SRR22878281.fastq_bin_1272423	0.69181275
SRR22878281.fastq_bin_1299134	0.13195156
SRR22878281.fastq_bin_1315445	0.33344343
SRR22878281.fastq_bin_1318659	0.2488938
SRR22878281.fastq_bin_1327645	0.28533316
SRR22878281.fastq_bin_1330403	0.33893585
SRR22878281.fastq_bin_1348881	0.47092828
SRR22878281.fastq_bin_1355362	0.14797144
SRR22878281.fastq_bin_1360208	0.29021287
SRR22878281.fastq_bin_1380972	0.12714814
SRR22878281.fastq_bin_1406449	0.15327598
SRR22878281.fastq_bin_1415033	0.9084608
SRR22878281.fastq_bin_1437311	0.61068696
SRR22878281.fastq_bin_1475309	0.1881187
SRR22878281.fastq_bin_1479957	0.1592361
SRR22878281.fastq_bin_1483024	0.14424245
SRR22878281.fastq_bin_1505020	0.29131582
SRR22878281.fastq_bin_1506086	0.36784562
SRR22878281.fastq_bin_1524409	0.24192417
SRR22878281.fastq_bin_1532639	0.14494191
SRR22878281.fastq_bin_1633526	0.4156055
SRR22878281.fastq_bin_1641228	0.440137
SRR22878281.fastq_bin_1700770	0.22899505
SRR22878281.fastq_bin_1734399	0.30728617
SRR22878281.fastq_bin_1837401	1.3975432
SRR22878281.fastq_bin_1874621	0.1887386
SRR22878281.fastq_bin_1875330	0.59512335
SRR22878281.fastq_bin_1885024	0.7794866
SRR22878281.fastq_bin_1944003	0.221168
SRR22878281.fastq_bin_1964116	0.2416096
SRR22878281.fastq_bin_2009255	0.1519659
SRR22878281.fastq_bin_2019818	0.17999412
SRR22878281.fastq_bin_2040905	0.12865911
SRR22878281.fastq_bin_2069221	0.1296368
SRR22878281.fastq_bin_2091047	0.17487884
SRR22878281.fastq_bin_2104421	0.1631615
SRR22878281.fastq_bin_2115589	0.20082822
SRR22878281.fastq_bin_2131671	0.47705603
SRR22878281.fastq_bin_2147531	0.8091831
SRR22878281.fastq_bin_2694	0.78744
SRR22878281.fastq_bin_34384	0.34445179
SRR22878281.fastq_bin_3891	0.1917293
SRR22878281.fastq_bin_47153	0.43104443
SRR22878281.fastq_bin_6555	0.13614261
SRR22878281.fastq_bin_681284	0.16122906
SRR22878281.fastq_bin_682652	0.23734704
SRR22878281.fastq_bin_725349	0.13835765
SRR22878281.fastq_bin_742824	0.15492885
SRR22878281.fastq_bin_7512	0.25860617
