	Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	source_dataset	collection	tag
0	SemiBin_0	16.72	0.02	Neural Network (Specific Model)	11	0.855	3356	245.88932038834952	443328	0.46	515	130	7827		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
1	SemiBin_1	70.59	8.63	Neural Network (Specific Model)	11	0.876	7120	293.5826672275978	2386205	0.34	2377	367	40559		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
2	SemiBin_10	9.62	0.31	Neural Network (Specific Model)	11	0.77	4368	247.0091743119266	314412	0.35	327	73	11728		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
3	SemiBin_11	78.17	17.3	Neural Network (Specific Model)	11	0.899	4876	270.0133149678604	1959597	0.37	2178	415	25622		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
4	SemiBin_12	9.91	0.28	Neural Network (Specific Model)	11	0.735	3557	241.70247933884295	476344	0.41	484	128	13231		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
5	SemiBin_137	5.76	0.01	Neural Network (Specific Model)	11	0.884	164069	272.60759493670884	219029	0.4	237	4	164069		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
6	SemiBin_14	70.0	9.13	Neural Network (Specific Model)	11	0.879	5655	280.5430463576159	1878076	0.34	1963	359	23767		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
7	SemiBin_16	96.3	0.24	Neural Network (Specific Model)	11	0.892	90094	293.433166547534	1378365	0.45	1399	22	247462		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
8	SemiBin_18	71.79	1.29	Neural Network (Specific Model)	11	0.863	7252	288.27861635220125	1592493	0.43	1590	262	21261		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
9	SemiBin_2	11.19	0.02	Neural Network (Specific Model)	11	0.825	3685	244.2947976878613	459975	0.42	519	125	7864		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
10	SemiBin_21	11.58	0.11	Neural Network (Specific Model)	11	0.74	4789	224.614161849711	629277	0.29	692	134	24753		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
11	SemiBin_26	4.4	0.01	Neural Network (Specific Model)	11	0.766	4247	248.82857142857145	236749	0.51	245	57	8995		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
12	SemiBin_3	83.91	26.54	Neural Network (Specific Model)	11	0.902	6092	286.3190376569038	1817621	0.37	1912	332	39661		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
13	SemiBin_34	8.12	0.03	Neural Network (Specific Model)	11	0.83	3435	230.55805243445693	222010	0.32	267	64	5982		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
14	SemiBin_4	73.59	36.26	Neural Network (Specific Model)	11	0.838	4609	278.692	2988967	0.45	3000	641	31365		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
15	SemiBin_5	52.68	4.42	Neural Network (Specific Model)	11	0.908	5251	273.3524945770065	831727	0.37	922	176	16917		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
16	SemiBin_6	56.59	1.81	Neural Network (Specific Model)	11	0.823	15233	292.6770145310436	1612924	0.46	1514	153	84597		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
17	SemiBin_7	86.03	2.49	Neural Network (Specific Model)	11	0.873	15212	311.8348909657321	2062318	0.34	1926	192	39872		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
18	SemiBin_8	13.25	0.53	Neural Network (Specific Model)	11	0.881	3348	292.38206896551725	719685	0.57	725	207	10963		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
19	SemiBin_9	91.38	3.29	Neural Network (Specific Model)	11	0.899	16501	351.1830882352941	1591299	0.61	1360	142	56668		SRR24759596	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
20	SemiBin_0	46.44	9.92	Neural Network (Specific Model)	11	0.896	4806	270.4665293511844	878173	0.37	971	194	27256		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
21	SemiBin_1	33.47	0.03	Neural Network (Specific Model)	11	0.892	3494	265.42534435261706	1616695	0.56	1815	455	9188		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
22	SemiBin_11	59.43	6.7	Neural Network (Specific Model)	11	0.836	8384	282.41149773071106	2006768	0.46	1983	299	44257		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
23	SemiBin_12	43.07	0.13	Neural Network (Specific Model)	11	0.879	3962	268.9971363115693	1599762	0.51	1746	410	18262		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
24	SemiBin_14	37.1	3.57	Neural Network (Specific Model)	11	0.913	4104	256.5314091680815	495683	0.37	589	119	10027		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
25	SemiBin_15	36.46	0.0	Neural Network (Specific Model)	11	0.895	3529	243.7894736842105	898835	0.32	1102	248	9866		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
26	SemiBin_18	51.31	6.47	Neural Network (Specific Model)	11	0.874	4656	269.1572700296736	1554581	0.34	1685	347	31991		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
27	SemiBin_19	42.5	0.07	Gradient Boost (General Model)	11	0.858	3715	251.26537785588752	997726	0.36	1138	265	8829		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
28	SemiBin_2	78.25	40.31	Neural Network (Specific Model)	11	0.839	4394	269.6807344477939	3512604	0.45	3649	809	28890		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
29	SemiBin_20	7.71	0.03	Neural Network (Specific Model)	11	0.751	5170	224.42414860681117	288807	0.35	323	54	36178		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
30	SemiBin_21	21.01	1.41	Neural Network (Specific Model)	11	0.859	3373	272.1158088235294	515770	0.42	544	145	8002		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
31	SemiBin_23	57.87	3.47	Neural Network (Specific Model)	11	0.904	4879	272.0445161290323	1396579	0.36	1550	296	15736		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
32	SemiBin_25	19.98	0.77	Neural Network (Specific Model)	11	0.909	3543	276.58516483516485	663751	0.36	728	187	7688		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
33	SemiBin_3	12.02	0.0	Neural Network (Specific Model)	11	0.872	3158	259.9881422924901	225796	0.3	253	70	6360		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
34	SemiBin_31	85.95	1.87	Neural Network (Specific Model)	11	0.901	16392	287.9369294605809	1153070	0.46	1205	102	57250		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
35	SemiBin_34	6.45	0.0	Neural Network (Specific Model)	11	0.878	5701	264.17735849056606	238477	0.42	265	44	31074		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
36	SemiBin_37	18.59	0.0	Neural Network (Specific Model)	11	0.922	3219	276.5260663507109	568276	0.44	633	169	9117		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
37	SemiBin_38	5.45	0.11	Neural Network (Specific Model)	11	0.723	3994	241.731843575419	358115	0.38	358	87	15835		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
38	SemiBin_39	7.09	0.03	Neural Network (Specific Model)	11	0.72	5575	223.12290502793297	332488	0.29	358	61	22281		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
39	SemiBin_4	86.34	1.33	Gradient Boost (General Model)	11	0.913	5607	287.1584863244661	2512502	0.42	2669	492	19744		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
40	SemiBin_49	8.38	0.02	Neural Network (Specific Model)	11	0.854	6216	240.4782608695652	329509	0.42	391	53	62824		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
41	SemiBin_5	43.69	4.19	Neural Network (Specific Model)	11	0.896	3450	290.4633928571429	1086743	0.6	1120	299	10332		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
42	SemiBin_52	100.0	0.31	Neural Network (Specific Model)	11	0.858	194137	315.32897793263646	3794114	0.39	3444	29	594787		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
43	SemiBin_53	4.84	0.04	Neural Network (Specific Model)	11	0.719	4921	246.90131578947367	312206	0.4	304	70	10503		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
44	SemiBin_6	99.88	2.65	Neural Network (Specific Model)	11	0.868	33607	321.1062683643487	2264205	0.34	2042	99	151911		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
45	SemiBin_62	12.12	0.08	Neural Network (Specific Model)	11	0.895	17905	285.6	382156	0.36	400	48	49900		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
46	SemiBin_69	4.49	0.0	Neural Network (Specific Model)	11	0.918	14591	277.55357142857144	202707	0.32	224	23	78571		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
47	SemiBin_7	11.15	1.48	Neural Network (Specific Model)	11	0.793	3720	241.95486935866984	769613	0.3	842	203	11809		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
48	SemiBin_8	71.07	0.03	Neural Network (Specific Model)	11	0.864	6973	287.0681818181818	1488577	0.43	1496	254	22332		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
49	SemiBin_95	9.59	0.19	Neural Network (Specific Model)	11	0.875	9560	294.9451612903226	313083	0.3	310	44	19510		SRR24759597	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
50	SemiBin_1	67.74	0.33	Gradient Boost (General Model)	11	0.91	4540	282.0201803349077	2159854	0.42	2329	491	13692		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
51	SemiBin_10	37.8	0.0	Neural Network (Specific Model)	11	0.878	3917	261.64624505928856	1354597	0.43	1518	342	10874		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
52	SemiBin_102	10.64	0.35	Neural Network (Specific Model)	11	0.868	6291	270.6	438900	0.52	470	73	19904		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
53	SemiBin_11	7.52	0.2	Neural Network (Specific Model)	11	0.688	4335	230.34594594594597	371112	0.4	370	90	9536		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
54	SemiBin_116	5.66	0.02	Neural Network (Specific Model)	11	0.861	113197	289.036036036036	223436	0.35	222	14	113197		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
55	SemiBin_12	38.23	13.67	Neural Network (Specific Model)	11	0.866	6625	280.8502762430939	1758403	0.34	1810	288	147518		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
56	SemiBin_13	13.6	0.75	Neural Network (Specific Model)	11	0.834	3715	262.66857688634195	985442	0.56	1047	250	33621		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
57	SemiBin_132	7.63	0.09	Neural Network (Specific Model)	4	0.818	239878	278.6145610278373	473485	0.51	467	3	239878		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
58	SemiBin_14	36.32	4.69	Neural Network (Specific Model)	11	0.886	3979	289.9171528588098	839439	0.6	857	204	28432		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
59	SemiBin_147	8.06	0.72	Neural Network (Specific Model)	11	0.735	4068	230.50277777777777	338256	0.28	360	87	8639		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
60	SemiBin_15	62.44	3.83	Neural Network (Specific Model)	11	0.89	5435	263.6567069294342	1394559	0.36	1573	275	16934		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
61	SemiBin_17	85.34	3.42	Neural Network (Specific Model)	11	0.902	17567	295.2395297575312	1334905	0.34	1361	119	64643		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
62	SemiBin_2	30.66	0.17	Neural Network (Specific Model)	11	0.835	4028	260.1077375122429	951874	0.46	1021	238	11911		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
63	SemiBin_20	56.38	4.18	Neural Network (Specific Model)	11	0.855	4753	272.23349217154527	1400679	0.42	1469	303	23489		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
64	SemiBin_21	99.43	15.05	Neural Network (Specific Model)	11	0.865	43090	319.35955056179773	2854530	0.34	2581	127	168383		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
65	SemiBin_23	38.35	5.79	Neural Network (Specific Model)	11	0.865	5915	269.1934097421204	1301254	0.33	1396	239	16792		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
66	SemiBin_24	80.3	9.06	Neural Network (Specific Model)	11	0.904	7358	293.8835774865073	1263027	0.37	1297	204	18433		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
67	SemiBin_26	87.98	4.9	Neural Network (Specific Model)	11	0.864	44449	306.316010699274	2779050	0.34	2617	89	195581		SRR24759598	checkm2 on collection 1105: Quality report	semibin-single-sample-binning
